GW-Nummer;Messstelle;Datum;Abstich [cm];LF [µS/cm];pH [ -];O2 [mg/l];O2-Sätt [%];Q [l/s];T [°C];F [mg/l];Mg [mg/l];PO4 [mg/l];NH4 [mg/l];Ca [mg/l];Cl [mg/l];DOC [mg/l];Fe [mg/l];Mn [mg/l];Na [mg/l];NO3 [mg/l];P, ges [mg/l];KS 4,3 [mmol/l];KS 8,2 [mmol/l];SO4 [mg/l];GH [mmol/l];Tr.quant [FNU];K [mg/l]
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;06.09.2006 13:15;;1.005;6.81;0.3;3;;15;;;;0.46;;;;;;;;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;21.03.2007 08:30;;1.323;6.81;0.2;2;;11.8;;;;0.77;;;;;;;1.7;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;30.08.2007 13:45;;1.057;6.87;;;;13.8;;27.7;0.1;0.56;195;35.1;;;;18.5;;0.173;7.82;;234;6.01;;22.2
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;05.03.2008 12:25;;1.243;;1.3;12;;10.8;;;;0.63;;;;;;;1.1;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;25.09.2008 08:45;;1.101;6.8;0.4;4;;13.2;;28.4;0.17;0.57;193;42.7;;;;20.8;;0.17;7.48;;265;5.98;;23.1
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;17.03.2009 10:35;;1.229;6.77;0.3;;;11.4;;;;0.62;;;;;;;1.5;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;24.06.2009 08:45;;1.124;6.9;0.5;4.7;;12.8;0.14;30;;0.50;205.4;42.1;6.9;5;0.35;22;;0.166;7.4;;278;6.36;38.2;25.8
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;23.09.2009 09:40;;1.127;6.85;;;;13.4;;34.5;;0.52;196;39.3;;;;21.1;;0.139;7.7;;260;6.3;;26
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;23.03.2010 09:15;;1.253;6.81;;;;11.1;;;;0.61;;;;;;;0.9;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;02.09.2010 08:40;;1.116;6.83;0.6;6;;12.8;;29.2;;0.65;212;43;;;;24.2;;0.12;7.2;;330;6.49;;25.9
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;17.03.2011 09:35;;1.177;6.87;3.6;34;;11;;;;0.51;;;;;;;0.9;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;12.09.2011 11:40;;1.147;6.92;0.4;4;;14.4;;31;0.05;0.54;207;44.7;;;;28;;0.22;7.9;;274;6.44;;27
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;05.03.2012 10:20;;1.237;;0.8;7;;10.4;;;;0.54;;;;;;;0.7;;;;;;;
0048/308-5;BBR Abwasserhebewerk Einöde, Bruchsal;14.03.2013 10:25;;1.235;6.88;0.9;9;;10.6;;;;0.77;;;;;;;;;;;;;;
