GW-Nummer;Messstelle;Datum;W [m ¸. NN]
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;07.01.2019 12:00;93.02
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;14.01.2019 12:00;93.01
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;21.01.2019 12:00;93.11
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;28.01.2019 12:00;93.13
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;04.02.2019 12:00;93.17
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;11.02.2019 12:00;93.16
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;18.02.2019 12:00;93.18
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;25.02.2019 12:00;93.19
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;04.03.2019 12:00;93.18
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;11.03.2019 12:00;93.2
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;18.03.2019 12:00;93.23
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;25.03.2019 12:00;93.25
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;01.04.2019 12:00;93.25
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;08.04.2019 12:00;93.24
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;15.04.2019 12:00;93.25
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;22.04.2019 12:00;93.26
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;29.04.2019 12:00;93.27
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;06.05.2019 12:00;93.24
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;13.05.2019 12:00;93.23
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;20.05.2019 12:00;93.25
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;27.05.2019 12:00;93.26
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;03.06.2019 12:00;93.29
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;10.06.2019 12:00;93.3
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;17.06.2019 12:00;93.27
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;24.06.2019 12:00;93.3
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;01.07.2019 12:00;93.3
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;15.07.2019 12:00;93.25
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;22.07.2019 12:00;93.31
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;29.07.2019 12:00;93.26
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;05.08.2019 12:00;93.24
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;12.08.2019 12:00;93.19
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;19.08.2019 12:00;93.18
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;26.08.2019 12:00;93.2
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;02.09.2019 12:00;93.17
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;09.09.2019 12:00;93.16
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;16.09.2019 12:00;93.15
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;23.09.2019 12:00;93.15
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;30.09.2019 12:00;93.17
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;07.10.2019 12:00;93.17
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;14.10.2019 12:00;93.19
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;21.10.2019 12:00;93.18
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;28.10.2019 12:00;93.19
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;04.11.2019 12:00;93.22
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;11.11.2019 12:00;93.2
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;18.11.2019 12:00;93.21
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;25.11.2019 12:00;93.22
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;02.12.2019 12:00;93.14
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;09.12.2019 12:00;93.26
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;16.12.2019 12:00;93.27
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;23.12.2019 12:00;93.26
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;30.12.2019 12:00;93.31
0214/258-0;GWM B6, Dettenheim-Ruﬂheim;07.01.2019 12:00;99.48
0214/258-0;GWM B6, Dettenheim-Ruﬂheim;14.01.2019 12:00;99.59
0214/258-0;GWM B6, Dettenheim-Ruﬂheim;21.01.2019 12:00;99.43
0214/258-0;GWM B6, Dettenheim-Ruﬂheim;28.01.2019 12:00;99.42
0214/258-0;GWM B6, Dettenheim-Ruﬂheim;04.02.2019 12:00;99.39
0214/258-0;GWM B6, Dettenheim-Ruﬂheim;11.02.2019 12:00;99.42
0214/258-0;GWM B6, Dettenheim-Ruﬂheim;18.02.2019 12:00;99.38
0214/258-0;GWM B6, Dettenheim-Ruﬂheim;25.02.2019 12:00;99.35
0214/258-0;GWM B6, Dettenheim-Ruﬂheim;04.03.2019 12:00;99.35
0214/258-0;GWM B6, Dettenheim-Ruﬂheim;11.03.2019 12:00;99.41
0214/258-0;GWM B6, Dettenheim-Ruﬂheim;18.03.2019 12:00;99.5
