Pegel;Tiefe_m;Sauerstoff;GWT;elektrische_Leitfaehigkeit_muS/cm;pH_Wert;Eisen;Phosphat;Nitrat;Detritus;Sediment;geologische_Einheit;Flaechennutzung;Anzahl_Arten;Anzahl_Individuen;Anteil_Crustaceen_%;Anteil_Oligochaeten_%
T101;39;0.97;14.4;608;6.98;0.8;0.1;1.5;3;3;1;1;0;0;0;0
T102;10;1.45;14;557.67;7;NaN;0.07;7;2;2;2;1;2;4;100;0
T104;15.8;1.07;12.5;592;7.06;1.9;0.1;1.5;3;3;3;1;0;0;0;0
T105;9.3;1.29;14.4;689;7.02;3.9;0.2;1.5;3;3;4;1;1;1;0;100
T106;11;4.02;14.2;846;7.06;0.4;0.4;7.33;3;3;1;1;3;7;86;14
T123;14;2.18;12.8;348.33;7.29;NaN;0.23;3.83;1;1;4;1;2;3;0;100
T124;13;1.97;14.9;768.33;7.1;0.33;0.1;8.67;3;3;4;1;1;2;0;0
T125;11.8;3.64;14.97;507;7.23;NaN;0.1;8.67;1;1;4;1;3;103;0;100
T128;9.5;5.5;13.17;727.67;7.03;NaN;0.17;9.67;2;2;4;1;2;13;0;100
T129;8.5;2.31;12.17;597.33;7.27;NaN;2.3;8;1;1;4;1;4;124;91;9
T320;9;2.62;12.64;389.67;7.22;NaN;0.12;1.5;1;1;2;1;1;252;0;100
T322;10;3.45;15.87;330.67;7.3;NaN;0.25;3.17;2;2;2;1;2;6;0;100
T402;9;3.68;12.43;733;6.97;NaN;0.33;14;2;2;4;1;4;4;50;50
T411;10.9;5.74;11.33;518.67;7.02;NaN;0.07;12;3;3;1;1;2;34;0;100
T412;10;4.47;11.4;618;7.06;NaN;0.2;13;1;1;1;1;4;6;100;0
T517;9;2.84;12.8;623.67;6.94;NaN;0.2;12.67;2;1.33;2;1;1;5;100;0
T524;9;1.77;11.53;597;6.85;NaN;0.1;8.33;2;1.67;2;1;2;275;99;1
T401;11;8.9;14.17;760.33;7.21;0.67;0.08;1.5;2;1.67;1;1;1;8;0;100
T109;13.7;4.86;14.13;765.67;7.25;0.43;0.07;9;1;1;4;1;4;38;92;8
T108;12;6.12;14.93;788.67;7.34;0.25;0.08;14.67;2;2;4;1;4;25;79;21
T114;12.8;8.25;15.43;651;6.15;0.45;0.07;14.67;1;1;2;1;4;171;13;88
T115;13.5;4.83;14.83;587.67;7.45;2.15;0.53;10.67;1;1;4;1;4;23;89;11
T117;13;6.24;17;738.67;7.33;0.25;0.12;5.17;3;3;4;1;5;76;92;8
T118;13.7;8.45;16.1;763.67;7.48;0.25;0.2;8.33;1;1.33;4;1;4;11;38;63
T112;12;6.87;14.47;741.33;7.31;1.25;0.1;3.83;2;1.67;4;1;4;204;100;0
T111;8.9;5.75;13.37;610;7.32;0.25;0.1;7.67;3;2.67;4;1;4;96;77;23
T113;11;3.35;17.53;628.33;7.31;0.25;0.07;2;1;1;4;1;1;1;0;100
3Kalmitw;15.5;6.44;15.27;679.33;7.39;0.75;0.12;8;1;1;4;1;3;13;77;23
2Windhor;15.2;8.64;15.77;833.33;7.29;1.02;0.22;2.33;2;2.33;4;1;4;353;20;80
1F-Lust-;15.2;5.95;17.33;753.67;7.34;0.37;0.1;10.67;2;2.33;1;1;3;630;65;35
T107;10.1;4.9;16.17;1163.33;7.29;0.4;0.3;10.33;1;1;1;1;3;130;66;34
NOM-011;14.9;3.42;10.7;673;7.36;0.85;0.22;1.33;1;1;4;2;1;15;100;0
NOM-017;15;7.2;10.9;624;7.49;0.25;0.08;2.67;3;3;1;2;6;506;97;3
SOM-020;15;5.81;10.67;726.33;7.38;0.25;0.05;6.33;1;1;1;2;4;9;50;50
SOM-018;27;12.75;10.73;777.67;7.47;1.73;0.18;3.5;3;3;4;2;2;31;90;10
SWM-005;15.5;8.72;10.47;554.33;7.38;1.9;0.05;1.33;2;2.33;1;2;3;358;26;74
NWM-009;15;10.69;10.83;637.67;7.5;3.87;0.05;2.33;2;2.33;1;2;4;90;43;57
NWM-006;14.8;5;10.7;672;7.48;0.33;0.05;2.33;1;1;1;2;3;16;86;14
NOM-014;15;9.92;10.53;623;7.51;0.78;0.2;2;1;1.33;4;2;3;23;67;33
