Time [s],Heating [W],Observed T [K]
0,NaN,0.0038159
4,0.0058,0.0038159
8,3.4455,0.0038159
12,3.4569,0.004442
16,3.4617,0.0050878
20,3.4645,0.0050878
24,3.4662,0.0050878
28,3.4673,0.0050878
32,3.4678,0.0050878
36,3.4682,0.0050878
40,3.4685,0.0050878
44,3.4686,0.0050878
48,3.4687,0.0050878
52,3.4688,0.0050878
56,3.469,0.0050878
60,3.469,0.0050878
64,3.469,0.0050878
68,3.4691,0.0050878
72,3.4691,0.0050878
76,3.4691,0.0050878
80,3.469,0.0050878
84,3.4691,0.004442
88,3.469,0.0050878
92,3.4689,0.0050878
96,3.4689,0.0050878
100,3.469,0.0050878
104,3.4689,0.0050878
108,3.4688,0.0050878
112,3.4688,0.0050878
116,3.4687,0.004442
120,3.4689,0.0050878
124,3.469,0.0050878
128,3.4689,0.0050878
132,3.4689,0.0050878
136,3.4689,0.004442
140,3.4687,0.004442
144,3.4687,0.0050878
148,3.4688,0.004442
152,3.4687,0.004442
156,3.4686,0.0050878
160,3.4689,0.004442
164,3.4688,0.0050878
168,3.4687,0.004442
172,3.4687,0.004442
176,3.4686,0.004442
180,3.4686,0.0050878
184,3.4685,0.0050878
188,3.4685,0.0050878
192,3.4685,0.004442
196,3.4685,0.0050878
200,3.4685,0.0050878
204,3.4685,0.004442
208,3.4684,0.004442
212,3.4685,0.004442
216,3.4687,0.004442
220,3.4686,0.004442
224,3.4685,0.004442
228,3.4685,0.0038159
232,3.4685,0.004442
236,3.4685,0.004442
240,3.4685,0.004442
244,3.4686,0.0041289
248,3.4684,0.004442
252,3.4686,0.004442
256,3.4685,0.004442
260,3.4685,0.004442
264,3.4685,0.0038159
268,3.4686,0.004442
272,3.4686,0.0038159
276,3.4687,0.0038159
280,3.4687,0.0041289
284,3.4686,0.0038159
288,3.4687,0.004442
292,3.4687,0.0038159
296,3.4686,0.0038159
300,3.4687,0.004442
304,3.4688,0.0038159
308,3.4689,0.0038159
312,3.4689,0.004442
316,3.469,0.0038159
320,3.4688,0.0038159
324,3.4689,0.0038159
328,3.4689,0.0038159
332,3.4688,0.0038159
336,3.4688,0.0038159
340,3.4687,0.0038159
344,3.4688,0.0038159
348,3.4687,0.0031701
352,3.4688,0.0038159
356,3.4689,0.0038159
360,3.4687,0.0038159
364,3.4687,0.0038159
368,3.4688,0.0031701
372,3.4688,0.0031701
376,3.4689,0.0038159
380,3.4689,0.0031701
384,3.4689,0.0031701
388,3.469,0.0031701
392,3.4689,0.0031701
396,3.469,0.0031701
400,3.4691,0.0031701
404,3.4691,0.0031701
408,3.469,0.0031701
412,3.469,0.0031701
416,3.4691,0.0031701
420,3.4691,0.0031701
424,3.469,0.0031701
428,3.4689,0.0031701
432,3.469,0.0025439
436,3.469,0.0031701
440,3.469,0.0031701
444,3.4689,0.0031701
448,3.469,0.0031701
452,3.469,0.0031701
456,3.4689,0.0031701
460,3.4689,0.0031701
464,3.4689,0.0031701
468,3.469,0.0031701
472,3.4689,0.0031701
476,3.4688,0.002857
480,3.4687,0.0025439
484,3.4688,0.0031701
488,3.469,0.0031701
492,3.4689,0.0031701
496,3.4689,0.0031701
500,3.4688,0.0025439
504,3.4688,0.0025439
508,3.469,0.0025439
512,3.469,0.0025439
516,3.4689,0.0031701
520,3.4689,0.0031701
524,3.469,0.0031701
528,3.4688,0.0031701
532,3.4687,0.0031701
536,3.4687,0.0031701
540,3.4688,0.0025439
544,3.4689,0.0025439
548,3.4689,0.0025439
552,3.4688,0.0025439
556,3.4687,0.0025439
560,3.4686,0.0025439
564,3.4686,0.0025439
568,3.4685,0.0025439
572,3.4686,0.0031701
576,3.4687,0.0018981
580,3.4688,0.0025439
584,3.4688,0.0025439
