Datum;T102;T104;T106;T108;T109;T111;T113;T114;T115;T117;T118;T121;T123;T124;T125;T128;T129
01.03.2011;14.5;12.7;12.9;14.3;13.6;12.3;17.4;14.7;14.5;18.5;16.1;10.8;12.7;15.2;14.9;13.2;12.1
02.03.2011;14.5;12.7;12.9;14.3;13.6;12.3;17.4;14.7;14.4;18.5;16.1;10.8;12.7;15.1;14.9;13.2;12.1
03.03.2011;14.5;12.7;12.8;14.3;13.6;12.3;17.4;14.7;14.4;18.4;16;10.8;12.7;15.1;14.9;13.2;12.1
04.03.2011;14.5;12.7;12.8;14.2;13.6;12.4;17.4;14.7;14.4;18.4;16;10.8;12.7;15.1;14.8;13.2;12.1
05.03.2011;14.5;12.7;12.8;14.2;13.6;12.3;17.4;14.7;14.4;18.4;16;10.8;12.7;15.1;14.8;13.1;12.1
06.03.2011;14.5;12.6;12.7;14.2;13.6;12.3;17.4;14.7;14.4;18.3;16;10.8;12.7;15.1;14.8;13.1;12.1
07.03.2011;14.5;12.6;12.7;14.2;13.6;12.3;17.4;14.7;14.4;18.3;16;10.8;12.7;15.1;14.8;13.1;12
08.03.2011;14.5;12.6;12.7;14.2;13.6;12.3;17.4;14.7;14.4;18.3;16;10.7;12.7;15.1;14.8;13.1;12
09.03.2011;14.5;12.6;12.7;14.2;13.6;12.3;17.4;14.7;14.4;18.2;16;10.7;12.7;15.1;14.8;13;12
10.03.2011;14.5;12.6;12.7;14.2;13.6;12.3;17.4;14.7;14.4;18.2;16;10.7;12.7;15;14.8;13;12
11.03.2011;14.5;12.6;12.7;14.2;13.6;12.3;17.4;14.7;14.4;18.2;16;10.7;12.7;15;14.8;13;12
12.03.2011;14.5;12.6;12.7;14.2;13.6;12.2;17.3;14.7;14.3;18.2;16;10.7;12.7;15;14.8;13;12
13.03.2011;14.4;12.6;12.6;14.1;13.6;12.2;17.3;14.6;14.3;18.1;16;10.7;12.7;15;14.8;13;12
14.03.2011;14.4;12.6;12.6;14.1;13.6;12.2;17.3;14.6;14.3;18.1;16;10.7;12.7;15;14.8;13;12
15.03.2011;14.4;12.6;12.6;14.1;13.6;12.2;17.3;14.6;14.3;18.1;16;10.7;12.7;15;14.7;13;11.9
16.03.2011;14.4;12.6;12.6;14.1;13.6;12.2;17.3;14.7;14.3;18;16;10.7;12.7;15;14.7;13;11.9
17.03.2011;14.4;12.6;12.6;14.1;13.6;12.2;17.4;14.6;14.3;18;15.9;10.6;12.7;15;14.7;12.9;11.9
18.03.2011;14.4;12.6;12.5;14.1;13.6;12.1;17.4;14.6;14.3;18;15.9;10.6;12.7;14.9;14.7;12.9;11.9
