Messstellennummer,Stationsname,Gewaesser,Parameter,Datum/Uhrzeit,Wert,Einheit,Produkt
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 00:00,6.558,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 01:00,6.552,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 02:00,6.574,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 03:00,6.596,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 04:00,6.617,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 05:00,6.547,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 06:00,6.536,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 07:00,6.525,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 08:00,6.547,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 09:00,6.503,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 10:00,6.426,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 11:00,6.305,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 12:00,6.278,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 13:00,6.355,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 14:00,6.278,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 15:00,6.195,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 16:00,6.146,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 17:00,6.118,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 18:00,6.052,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 19:00,6.036,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 20:00,5.992,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 21:00,5.959,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 22:00,5.964,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,01.01.2021 23:00,5.953,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 00:00,5.909,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 01:00,5.874,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 02:00,5.834,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 03:00,5.788,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 04:00,5.765,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 05:00,5.736,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 06:00,5.719,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 07:00,5.672,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 08:00,5.336,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 09:00,5.648,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 10:00,5.622,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 11:00,5.597,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 12:00,5.597,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 13:00,5.865,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 14:00,5.634,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 15:00,5.558,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 16:00,5.546,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 17:00,5.507,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 18:00,5.512,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 19:00,5.486,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 20:00,5.439,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 21:00,5.512,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 22:00,5.507,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,02.01.2021 23:00,5.456,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 00:00,5.41,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 01:00,5.388,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 02:00,5.367,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 03:00,5.316,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 04:00,5.295,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 05:00,5.308,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 06:00,5.252,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 07:00,5.197,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 08:00,5.175,m3/s,Stundenmittelwert
