pl_name,orbital_period,radius_earth,radius_jupiter,mass_earth,mass_jupiter,equi_temp
11 Com b,326.03,12.10,1.08,6165.60,19.40,
11 UMi b,516.22,12.30,1.09,4684.81,14.74,
14 And b,185.84,12.90,1.15,1525.50,4.80,
14 Her b,1773.40,12.90,1.15,1481.09,4.66,
16 Cyg B b,798.50,13.50,1.20,565.74,1.78,
18 Del b,993.30,12.50,1.11,3273.50,10.30,
1RXS J160929.1-210524 b,,18.65,1.66,3000.00,8.00,1700.00
24 Boo b,30.35,13.90,1.24,289.23,0.91,
24 Sex b,452.80,13.40,1.19,632.46,1.99,
24 Sex c,883.00,13.90,1.24,273.32,0.86,
2MASS J01033563-5515561 AB b,,12.30,1.10,4131.79,13.00,
2MASS J01225093-2439505 b,,11.21,1.00,7786.50,24.50,1600.00
2MASS J02192210-3925225 b,,16.14,1.44,4417.84,13.90,
2MASS J04414489+2301513 b,,12.60,1.13,2383.60,7.50,
2MASS J12073346-3932539 b,,13.00,1.16,1271.00,4.00,1150.00
2MASS J19383260+4603591 b,416.00,13.40,1.20,603.88,1.90,
2MASS J21402931+1625183 A b,7336.50,10.31,0.92,6657.48,20.95,2075.00
2MASS J22362452+4751425 b,,12.30,1.10,3972.88,12.50,
30 Ari B b,335.10,12.30,1.10,4392.41,13.82,
4 UMa b,269.30,12.70,1.13,2256.50,7.10,
42 Dra b,479.10,13.00,1.16,1233.13,3.88,
47 UMa b,1078.00,13.20,1.18,804.08,2.53,
47 UMa c,2391.00,14.20,1.27,171.62,0.54,
47 UMa d,14002.00,13.50,1.20,521.22,1.64,
51 Eri b,11688.00,13.40,1.19,635.66,2.00,700.00
51 Peg b,4.23,14.30,1.27,146.20,0.46,
55 Cnc b,14.65,13.90,1.24,263.98,0.83,700.00
55 Cnc c,44.40,8.51,0.76,54.47,0.17,
55 Cnc d,5574.20,13.00,1.16,1232.49,3.88,
55 Cnc e,0.74,1.88,0.17,7.99,0.03,1958.00
55 Cnc f,259.88,7.59,0.68,44.81,0.14,
6 Lyn b,934.30,13.40,1.19,638.84,2.01,
61 Vir b,4.22,2.11,0.19,5.10,0.02,
61 Vir c,38.02,4.46,0.40,18.20,0.06,
61 Vir d,123.01,5.11,0.46,22.90,0.07,
7 CMa b,735.10,13.40,1.20,587.99,1.85,
7 CMa c,996.00,13.90,1.24,276.51,0.87,
70 Vir b,116.69,12.60,1.13,2380.45,7.49,
75 Cet b,691.90,13.10,1.17,953.49,3.00,
8 UMi b,93.40,13.60,1.22,416.36,1.31,
81 Cet b,952.70,12.80,1.14,1684.40,5.30,
91 Aqr b,181.40,13.10,1.17,1017.00,3.20,
AB Pic b,,12.30,1.10,4290.50,13.50,
AU Mic b,8.46,4.20,0.38,57.21,0.18,
BD+03 2562 b,481.90,12.70,1.13,2034.11,6.40,
BD+14 4559 b,268.94,13.80,1.23,330.54,1.04,
BD+15 2375 b,153.22,13.80,1.23,337.22,1.06,
BD+15 2940 b,137.48,13.70,1.23,352.78,1.11,
BD+20 2457 b,379.63,11.60,1.03,17668.17,55.59,
BD+20 2457 c,621.99,12.40,1.10,3963.17,12.47,
BD+20 274 b,578.20,13.00,1.16,1334.89,4.20,
BD+20 594 b,41.69,2.58,0.23,22.25,0.07,546.00
BD+48 738 b,392.60,13.90,1.24,289.23,0.91,
BD+48 740 b,733.00,13.50,1.20,540.31,1.70,
BD+49 828 b,2590.00,13.50,1.21,508.50,1.60,
BD-06 1339 b,3.87,2.85,0.25,8.50,0.03,
BD-06 1339 c,125.94,8.38,0.75,53.00,0.17,
BD-08 2823 b,5.60,3.61,0.32,12.71,0.04,
BD-08 2823 c,237.60,12.50,1.11,104.00,0.33,
BD-10 3166 b,3.49,14.10,1.26,187.52,0.59,
BD-11 4672 b,1634.00,14.10,1.25,206.59,0.65,
BD-11 4672 c,74.20,4.04,0.36,15.37,0.05,
BD-13 2130 b,714.30,12.50,1.11,3108.38,9.78,
BD-17 63 b,655.60,12.80,1.15,1620.90,5.10,
CFBDSIR J145829+101343 b,10037.50,12.40,1.11,3337.10,10.50,370.00
CHXR 73 b,,12.30,1.10,3994.49,12.57,
CI Tau b,8.99,12.40,1.11,3686.83,11.60,
CT Cha b,,24.66,2.20,5403.00,17.00,2600.00
