pl_name,disc_pubdate
11 Com b,2008-01
11 UMi b,2009-10
14 And b,2008-12
14 Her b,2003-01
16 Cyg B b,1997-07
18 Del b,2008-06
1RXS J160929.1-210524 b,2008-12
24 Boo b,2018-08
24 Sex b,2011-01
24 Sex c,2011-01
2MASS J01033563-5515561 AB b,2013-05
2MASS J01225093-2439505 b,2013-09
2MASS J02192210-3925225 b,2015-06
2MASS J04414489+2301513 b,2010-05
2MASS J12073346-3932539 b,2004-10
2MASS J19383260+4603591 b,2015-05
2MASS J21402931+1625183 A b,2010-03
2MASS J22362452+4751425 b,2017-01
30 Ari B b,2009-12
4 UMa b,2007-09
42 Dra b,2009-06
47 UMa b,1996-06
47 UMa c,2002-01
47 UMa d,2010-04
51 Eri b,2015-00
51 Peg b,1995-11
55 Cnc b,1997-01
55 Cnc c,2004-10
55 Cnc d,2002-12
55 Cnc e,2004-10
55 Cnc f,2008-03
6 Lyn b,2008-12
61 Vir b,2010-01
61 Vir c,2010-01
61 Vir d,2010-01
7 CMa b,2011-12
7 CMa c,2019-11
70 Vir b,1996-06
75 Cet b,2012-12
8 UMi b,2015-12
81 Cet b,2008-12
91 Aqr b,2013-07
AB Pic b,2005-08
AU Mic b,2020-06
BD+03 2562 b,2017-10
BD+14 4559 b,2009-12
BD+15 2375 b,2016-04
BD+15 2940 b,2013-06
BD+20 2457 b,2009-12
BD+20 2457 c,2009-12
BD+20 274 b,2012-09
BD+20 594 b,2016-10
BD+48 738 b,2012-01
BD+48 740 b,2018-05
BD+49 828 b,2015-04
BD-06 1339 b,2013-03
BD-06 1339 c,2013-03
BD-08 2823 b,2010-03
BD-08 2823 c,2010-03
BD-10 3166 b,2000-12
BD-11 4672 b,2015-04
BD-11 4672 c,2020-06
BD-13 2130 b,2007-09
BD-17 63 b,2009-03
CFBDSIR J145829+101343 b,2011-10
CHXR 73 b,2006-10
CI Tau b,2019-06
CT Cha b,2008-11
CoRoT-1 b,2008-05
CoRoT-10 b,2010-09
CoRoT-11 b,2010-12
CoRoT-12 b,2010-09
CoRoT-13 b,2010-11
CoRoT-14 b,2011-04
CoRoT-16 b,2012-05
CoRoT-17 b,2011-07
CoRoT-18 b,2011-09
CoRoT-19 b,2012-01
CoRoT-2 b,2008-05
CoRoT-20 b,2012-02
CoRoT-20 c,2018-07
CoRoT-21 b,2012-09
CoRoT-22 b,2014-08
CoRoT-23 b,2012-01
CoRoT-24 b,2014-07
CoRoT-24 c,2014-07
CoRoT-25 b,2013-07
CoRoT-26 b,2013-07
CoRoT-27 b,2014-02
CoRoT-28 b,2015-07
CoRoT-29 b,2015-07
CoRoT-3 b,2008-12
CoRoT-30 b,2020-03
CoRoT-31 b,2020-03
CoRoT-4 b,2008-09
CoRoT-5 b,2009-10
CoRoT-6 b,2010-03
CoRoT-7 b,2009-10
CoRoT-7 c,2009-10
CoRoT-8 b,2010-09
CoRoT-9 b,2010-03
CoRoTID 223977153 b,2018-01
DE CVn b,2018-11
DENIS-P J082303.1-491201 b,2013-08
DH Tau b,2005-02
DMPP-1 b,2019-12
DMPP-1 c,2019-12
DMPP-1 d,2019-12
DMPP-1 e,2019-12
DMPP-2 b,2019-12
DMPP-3 A b,2019-12
DP Leo b,2010-01
DS Tuc A b,2019-07
EPIC 201170410.02,2020-08
EPIC 201238110 b,2019-07
EPIC 201497682 b,2019-07
EPIC 201615463 c,2019-07
EPIC 201754305 d,2019-07
EPIC 201757695.02,2020-08
EPIC 201833600 c,2019-07
EPIC 201841433 b,2019-07
EPIC 205950854 c,2019-07
EPIC 206024342 b,2019-07
EPIC 206032309 b,2019-07
EPIC 206042996 b,2019-07
EPIC 206215704 b,2019-07
EPIC 206317286 b,2019-07
EPIC 211822797 b,2017-02
EPIC 211945201 b,2018-07
EPIC 212297394 b,2019-07
EPIC 212424622 b,2019-07
EPIC 212499991 b,2019-07
EPIC 212587672 b,2019-07
EPIC 212737443 b,2019-09
EPIC 212737443 c,2019-09
EPIC 220554210 c,2019-07
EPIC 220674823 b,2017-02
EPIC 220674823 c,2017-02
EPIC 246851721 b,2018-12
EPIC 248847494 b,2018-07
EPIC 249893012 b,2020-04
EPIC 249893012 c,2020-04
EPIC 249893012 d,2020-04
FU Tau b,2009-02
G 9-40 b,2020-03
GJ 1061 b,2020-03
GJ 1061 c,2020-03
GJ 1061 d,2020-03
GJ 1132 b,2015-11
GJ 1132 c,2017-10
GJ 1148 b,2010-05
GJ 1148 c,2018-02
GJ 1214 b,2009-12
GJ 1252 b,2020-02
GJ 1265 b,2018-12
GJ 143 b,2019-02
GJ 15 A b,2014-10
GJ 15 A c,2018-09
GJ 160.2 b,2014-06
GJ 163 b,2013-08
GJ 163 c,2013-08
GJ 163 d,2013-08
GJ 179 b,2010-10
GJ 180 b,2014-06
GJ 180 c,2014-06
GJ 180 d,2020-01
GJ 2056 b,2020-08
GJ 229 A c,2020-01
GJ 229 b,2014-06
GJ 27.1 b,2014-06
GJ 273 b,2017-06
GJ 273 c,2017-06
GJ 3021 b,2001-08
GJ 3082 b,2020-01
GJ 3138 b,2017-06
GJ 3138 c,2017-06
GJ 3138 d,2017-06
GJ 317 b,2007-11
GJ 317 c,2016-04
GJ 328 b,2013-09
GJ 3293 b,2015-03
GJ 3293 c,2015-03
GJ 3293 d,2017-06
GJ 3293 e,2017-06
GJ 3323 b,2017-06
GJ 3323 c,2017-06
GJ 3341 b,2015-03
GJ 338 B b,2020-05
GJ 3470 b,2012-10
GJ 3473 b,2020-09
GJ 3473 c,2020-09
GJ 3512 b,2019-09
GJ 357 b,2019-08
GJ 357 c,2019-08
GJ 357 d,2019-08
GJ 3634 b,2011-04
GJ 3779 b,2018-12
GJ 3942 b,2017-12
GJ 3998 b,2016-10
GJ 3998 c,2016-10
GJ 411 b,2019-05
GJ 422 b,2014-06
GJ 4276 b,2019-02
GJ 433 b,2013-01
GJ 433 c,2014-06
GJ 433 d,2020-01
GJ 436 b,2004-12
GJ 480 b,2020-08
GJ 504 b,2013-09
GJ 536 b,2017-01
GJ 581 b,2005-12
GJ 581 c,2007-07
GJ 581 e,2009-11
GJ 625 b,2017-09
