Pegel;Rechtswert;Hochwert;GWT;GWHoehe;;;
T101;3456353.76;5430382.57;15.86939891;109.9422678;;;
T102;3456360.57;5429390.05;14.46994536;110.8665301;;;
T104;3456972.67;5429327.50;12.47513661;111.0425956;;;
T105;3456920.53;5430095.59;14.50382514;110.6023224;;;
T106;3456713.31;5430633.51;14.04972678;109.8391257;;;
T108;3454668.30;5431060.16;14.22459016;108.2842623;;;
T109;3455096.35;5431759.46;13.43551913;107.9515847;;;
T110;3455203.35;5432596.45;13.3057377;106.9680055;;;
T111;3454566.85;5433190.17;13.10765027;106.6815027;;;
T112;3453155.53;5432913.37;10.92579505;105.1278415;;;
T113;3453695.86;5432078.91;17.32459016;107.3024317;;;
T114;3453958.05;5431202.38;14.58688525;107.668388;;;
T115;3452923.48;5431180.01;14.13387978;106.418388;;;
T117;3452924.75;5431703.99;17.45819672;105.851612;;;
T118;3452562.85;5431770.60;15.90519126;104.8624317;;;
T121;3453212.25;5430278.59;12.41666667;108.644153;;;
T123;3454116.25;5430361.15;12.68032787;108.8693716;;;
T124;3455393.90;5430473.09;15.05;109.2409836;;;
T125;3454487.65;5429990.22;14.86038251;109.3725137;;;
T128;3455039.63;5429223.07;13.21065574;110.3629508;;;
T129;3455126.05;5428568.91;12.60355191;111.2104918;;;
T202;3451451.22;5430311.73;12.37868852;104.4688251;;;
T203;3451573.80;5429656.63;13.2795082;105.4555738;;;
T205;3451761.56;5429087.30;13.23551913;106.3417213;;;
T206;3452275.46;5428382.43;11.69153005;108.3337432;;;
T208;3453002.89;5429164.30;13.32240437;108.7335246;;;
T210;3454151.26;5429000.39;12.84264706;110.0395355;;;
T212;3453345.24;5427974.10;11.20081967;109.9322404;;;
T213;3454701.92;5428043.98;13.23821429;111.3384153;;;
T215;3453604.17;5427226.81;12.21147541;111.2263934;;;
T217;3454520.77;5427041.32;10.95983607;112.1628689;;;
T219;3455441.77;5427414.49;11.88251366;111.8177596;;;
T222;3456144.10;5428041.37;12.42786885;111.630929;;;
T223;3456330.58;5427239.28;11.60433604;112.0252033;;;
T224;3455644.88;5426339.58;11.20409836;112.5693169;;;
T225;3456234.57;5426074.87;12.98278689;112.7928415;;;
T226;3455859.14;5425442.03;12.21803279;113.0453279;;;
T227;3457142.44;5425342.78;12.0568306;113.259153;;;
T228;3456869.11;5425953.93;12.88306011;112.9571038;;;
T230;3457507.57;5425841.86;11.90218579;113.1385519;;;
T232;3456662.17;5426742.76;13.79552716;112.3036066;;;
T233;3457127.63;5427338.88;12.93606557;111.9992077;;;
T301;3455666.41;5435813.20;12.09180328;105.2955191;;;
T302;3455445.14;5435061.29;13.99535519;105.7261202;;;
T304;3454935.89;5434237.90;11.49726776;105.7834699;;;
T305;3454141.11;5435184.30;11.45409836;103.2201093;;;
T306;3454043.30;5436485.35;11.88031915;101.5814362;;;
T307;3453021.71;5434562.31;12.69180328;102.0754372;;;
T308;3453467.98;5434030.56;12.7852459;103.3177869;;;
T310;3452058.33;5432926.29;13.28825137;103.4685519;;;
T312;3452298.05;5433866.78;13.19125683;103.5;;;
T314;3451852.36;5432359.10;13.22628726;103.3526016;;;
T316;3450276.22;5431548.64;14.02896175;102.566776;;;
T317;3449100.38;5431299.76;14.43143631;102.8520596;;;
T320;3451343.97;5430724.99;13.55447154;103.1677507;;;
T322;3452297.88;5430852.59;15.76449864;104.8384011;;;
T323;3449746.22;5430946.48;14.01897019;102.9954491;;;
T324;3450171.52;5430421.78;13.32090164;103.6140164;;;
T327;3450580.71;5429970.21;12.5795082;103.5643443;;;
T328;3451270.01;5433205.77;13.57868852;102.4147268;;;
T401;3457026.68;5431600.77;13.34371585;109.1965301;;;
T402;3457777.63;5430825.75;12.70983607;111.1341257;;;
T404;3457674.15;5429830.44;13.48563686;110.8527371;;;
T405;3458084.92;5429535.87;12.81590909;111.4177322;;;
T408;3459131.02;5430472.82;13.89398907;111.5906284;;;
T409;3459621.40;5430671.68;11.56666667;111.8615847;;;
T410;3459012.37;5431087.24;13.32893082;111.1919126;;;
T411;3458858.92;5431986.50;11.38907104;110.8432787;;;
T412;3458446.36;5432598.75;11.72010724;108.7856836;;;
T413;3459367.99;5432853.90;13.68852459;109.606776;;;
T417;3459553.62;5433732.93;13.32322404;108.6956011;;;
T421;3460177.16;5432370.44;12.82513661;111.1425137;;;
T424;3461080.32;5431383.79;12.64945355;112.3865027;;;
T425;3461552.89;5433082.14;13.14644809;111.394153;;;
T501;3458890.15;5428955.98;12.81994536;112.1980601;;;
T506;3459136.89;5426614.25;11.38579235;113.3348634;;;
T514;3459945.02;5428037.96;12.67295082;113.1943989;;;
T516;3459684.17;5428519.30;12.59644809;112.7717213;;;
T517;3460718.46;5428991.38;12.72814208;113.075847;;;
T522;3461375.39;5428395.76;11.63387978;114.4607923;;;
T524;3460123.51;5429304.06;12.61338798;112.7679781;;;
T526;3459400.57;5429365.21;12.56120219;112.2424044;;;
T529;3460670.51;5429830.97;12.08715847;112.8311475;;;
T531;3461464.05;5429724.70;12.8920765;113.4762295;;;
T536;3461654.75;5429067.73;12.11584699;114.1884699;;;
T537;3461798.00;5431386.54;13.61857923;112.8885519;;;
T540;3463230.06;5430079.81;12.57814208;119.2312603;;;
T543;3463307.32;5429881.71;12.12704918;120.4013699;;;
T544;3463565.54;5429870.67;12.67759563;120.7950411;;;
