Tiefe_m;Sauerstoff_mg/l;GW_Temperatur_°C;elektrische_Leitfähigkeit_muS/cm;pH_Wert;Phosphat_mg/l;Nitrat_mg/l;Detritus;Sediment;geologische_Einheit;Flaechennutzung;Anzahl_Arten;Anzahl_Individuen;Anteil_Crustaceen_%;Anteil_Oligochaeten_%
39;0.97;14.4;608;6.98;0.1;1.5;3;3;1;1;0;0;0;0
10;1.45;14;557.67;7;0.07;7;2;2;2;1;2;4;100;0
15.8;1.07;12.5;592;7.06;0.1;1.5;3;3;3;1;0;0;0;0
9.3;1.29;14.4;689;7.02;0.2;1.5;3;3;4;1;1;1;0;100
11;4.02;14.2;846;7.06;0.4;7.33;3;3;1;1;3;7;86;14
14;2.18;12.8;348.33;7.29;0.23;3.83;1;1;4;1;2;3;0;100
13;1.97;14.9;768.33;7.1;0.1;8.67;3;3;4;1;1;2;0;0
11.8;3.64;14.97;507;7.23;0.1;8.67;1;1;4;1;3;103;0;100
9.5;5.5;13.17;727.67;7.03;0.17;9.67;2;2;4;1;2;13;0;100
8.5;2.31;12.17;597.33;7.27;2.3;8;1;1;4;1;4;124;91;9
9;2.62;12.64;389.67;7.22;0.12;1.5;1;1;2;1;1;252;0;100
10;3.45;15.87;330.67;7.3;0.25;3.17;2;2;2;1;2;6;0;100
9;3.68;12.43;733;6.97;0.33;14;2;2;4;1;4;4;50;50
10.9;5.74;11.33;518.67;7.02;0.07;12;3;3;1;1;2;34;0;100
10;4.47;11.4;618;7.06;0.2;13;1;1;1;1;4;6;100;0
9;2.84;12.8;623.67;6.94;0.2;12.67;2;1.33;2;1;1;5;100;0
9;1.77;11.53;597;6.85;0.1;8.33;2;1.67;2;1;2;275;99;1
11;8.9;14.17;760.33;7.21;0.08;1.5;2;1.67;1;1;1;8;0;100
13.7;4.86;14.13;765.67;7.25;0.07;9;1;1;4;1;4;38;92;8
12;6.12;14.93;788.67;7.34;0.08;14.67;2;2;4;1;4;25;79;21
12.8;8.25;15.43;651;6.15;0.07;14.67;1;1;2;1;4;171;13;88
13.5;4.83;14.83;587.67;7.45;0.53;10.67;1;1;4;1;4;23;89;11
13;6.24;17;738.67;7.33;0.12;5.17;3;3;4;1;5;76;92;8
13.7;8.45;16.1;763.67;7.48;0.2;8.33;1;1.33;4;1;4;11;38;63
12;6.87;14.47;741.33;7.31;0.1;3.83;2;1.67;4;1;4;204;100;0
8.9;5.75;13.37;610;7.32;0.1;7.67;3;2.67;4;1;4;96;77;23
11;3.35;17.53;628.33;7.31;0.07;2;1;1;4;1;1;1;0;100
15.5;6.44;15.27;679.33;7.39;0.12;8;1;1;4;1;3;13;77;23
15.2;8.64;15.77;833.33;7.29;0.22;2.33;2;2.33;4;1;4;353;20;80
15.2;5.95;17.33;753.67;7.34;0.1;10.67;2;2.33;1;1;3;630;65;35
10.1;4.9;16.17;1163.33;7.29;0.3;10.33;1;1;1;1;3;130;66;34
14.9;3.42;10.7;673;7.36;0.22;1.33;1;1;4;2;1;15;100;0
15;7.2;10.9;624;7.49;0.08;2.67;3;3;1;2;6;506;97;3
15;5.81;10.67;726.33;7.38;0.05;6.33;1;1;1;2;4;9;50;50
27;12.75;10.73;777.67;7.47;0.18;3.5;3;3;4;2;2;31;90;10
15.5;8.72;10.47;554.33;7.38;0.05;1.33;2;2.33;1;2;3;358;26;74
15;10.69;10.83;637.67;7.5;0.05;2.33;2;2.33;1;2;4;90;43;57
14.8;5;10.7;672;7.48;0.05;2.33;1;1;1;2;3;16;86;14
15;9.92;10.53;623;7.51;0.2;2;1;1.33;4;2;3;23;67;33
