pl_name,stellar_spectype,st_radius_sun,st_mass_sun,stellar_age
11 Com b,G8 III,19,2.7,
11 UMi b,K4 III,29.79,2.78,1.56
14 And b,K0 III,11,2.2,
14 Her b,K0 V,0.93,0.9,3.90
16 Cyg B b,G2.5 V,1.13,1.08,
18 Del b,G6 III,8.5,2.3,
1RXS J160929.1-210524 b,K7 V,1.31,0.85,0.01
24 Boo b,G3 IV,10.64,0.99,6.92
24 Sex b,,4.9,1.54,2.70
24 Sex c,,4.9,1.54,2.70
2MASS J01033563-5515561 AB b,M5.5/M6,,0.19,0.03
2MASS J01225093-2439505 b,M3.5 V,0.37,0.4,0.12
2MASS J02192210-3925225 b,M6,0.28,0.11,0.04
2MASS J04414489+2301513 b,M8.5,,0.02,0.00
2MASS J12073346-3932539 b,M8,0.22,0.19,0.01
2MASS J19383260+4603591 b,,,0.48,
2MASS J21402931+1625183 A b,M8.5,0.12,0.08,
2MASS J22362452+4751425 b,K7 V,,0.6,0.12
30 Ari B b,F6 V,1.41,1.93,0.91
4 UMa b,K1 III,18.11,1.23,4.60
42 Dra b,K1.5 III,22.03,0.98,9.49
47 UMa b,G1 V,1.21,1.06,
47 UMa c,G1 V,1.21,1.06,
47 UMa d,,1.21,1.06,
51 Eri b,F0 IV,1.49,1.65,0.02
51 Peg b,,1.18,1.03,10.00
55 Cnc b,G8 V,0.94,0.91,5.50
55 Cnc c,,0.94,0.91,
55 Cnc d,G8 V,0.94,0.91,5.50
55 Cnc e,G8 V,0.94,0.91,
55 Cnc f,,0.94,0.91,
6 Lyn b,K0 IV,5.2,1.44,
61 Vir b,G5 V,0.96,0.94,8.96
61 Vir c,G5 V,0.96,0.94,8.96
61 Vir d,G5 V,0.96,0.94,8.96
7 CMa b,K1 III,4.87,1.34,4.30
7 CMa c,,4.87,1.34,4.30
70 Vir b,,1.89,1.09,7.77
75 Cet b,G3 III,10.5,2.49,
8 UMi b,K0,10.3,1.44,1.70
81 Cet b,G5 III,11,2.4,
91 Aqr b,K0 III,11,1.4,3.56
AB Pic b,K2 V,,,0.03
AU Mic b,,0.75,0.5,0.02
BD+03 2562 b,,32.35,1.14,5.20
BD+14 4559 b,K2 V,0.86,0.49,
BD+15 2375 b,,8.95,1.08,7.41
BD+15 2940 b,K0,14.7,1.1,7.10
BD+20 2457 b,K2 II,71.02,10.83,
BD+20 2457 c,K2 II,49,2.8,
BD+20 274 b,K5 III,17.3,0.8,
BD+20 594 b,G,1.08,1.67,3.34
BD+48 738 b,K0 III,11,0.74,
BD+48 740 b,,10.33,1.09,
BD+49 828 b,K0,7.6,1.52,2.34
BD-06 1339 b,K7/M0 V,,0.7,4.40
BD-06 1339 c,K7/M0 V,,0.7,4.40
BD-08 2823 b,K3 V,0.71,0.5,4.50
BD-08 2823 c,K3 V,,0.74,4.50
BD-10 3166 b,K0 V,0.91,1.47,
BD-11 4672 b,K7 V,0.64,0.65,7.40
BD-11 4672 c,,0.64,0.65,7.40
BD-13 2130 b,,19.17,2.12,0.74
BD-17 63 b,K5 V,0.69,0.74,4.30
CFBDSIR J145829+101343 b,,,0.02,
CHXR 73 b,M3.5,,0.35,0.00
CI Tau b,K7,,0.9,0.00
CT Cha b,,,,0.00
CoRoT-1 b,G0 V,1.11,0.95,1.60
CoRoT-10 b,K1 V,0.79,0.89,3.00
CoRoT-11 b,F6 V,1.37,1.27,2.00
CoRoT-12 b,,1.12,1.08,6.30
CoRoT-13 b,G0 V,1.01,1.09,1.64
CoRoT-14 b,F9 V,1.21,1.13,4.20
CoRoT-16 b,G5 V,1.19,1.1,6.73
CoRoT-17 b,G2 V,1.59,1.04,10.70
CoRoT-18 b,G9 V,1,0.95,0.03
CoRoT-19 b,F9 V,1.65,1.21,5.00
CoRoT-2 b,,0.91,0.96,2.70
CoRoT-20 b,G2 V,1.02,1.14,0.10
CoRoT-20 c,,,1.14,
CoRoT-21 b,F8 IV,1.95,1.29,4.10
CoRoT-22 b,G3 V,1.14,1.1,3.30
CoRoT-23 b,G0 V,1.61,1.14,7.20
CoRoT-24 b,K1 V,0.86,0.91,11.00
CoRoT-24 c,K1 V,0.86,0.91,11.00
CoRoT-25 b,F9,1.19,1.09,4.50
CoRoT-26 b,G5,1.79,1.09,8.60
CoRoT-27 b,G2,1.08,1.05,4.21
CoRoT-28 b,G8/9 IV,1.78,1.01,12.00
CoRoT-29 b,K0 V,0.9,0.97,4.50
CoRoT-3 b,F3 V,1.56,1.37,2.20
CoRoT-30 b,G3 V,0.91,0.98,3.00
CoRoT-31 b,G2 IV,2.15,1.25,4.70
CoRoT-4 b,,1.17,1.16,1.00
CoRoT-5 b,F9 V,1.19,1,6.90
CoRoT-6 b,F9 V,1.02,1.05,2.50
CoRoT-7 b,G9 V,0.83,0.82,1.75
CoRoT-7 c,,0.86,0.9,
CoRoT-8 b,K1 V,0.77,0.88,3.00
CoRoT-9 b,G3 V,0.96,0.96,6.00
CoRoTID 223977153 b,G0 VI,0.79,1.08,
DE CVn b,,,0.51,
DENIS-P J082303.1-491201 b,L1.5,,0.07,1.00
DH Tau b,M0.5,0.27,0.33,0.00
DMPP-1 b,F8 V,1.26,1.21,2.01
DMPP-1 c,F8 V,1.26,1.21,2.01
DMPP-1 d,F8 V,1.26,1.21,2.01
DMPP-1 e,F8 V,1.26,1.21,2.01
DMPP-2 b,F5 V,1.78,1.44,2.00
DMPP-3 A b,K0 V,0.91,0.87,10.90
DP Leo b,,,0.69,
DS Tuc A b,G6 V,0.96,1.01,0.05
EPIC 201170410.02,,0.28,0.29,
EPIC 201238110 b,,0.37,0.41,
EPIC 201497682 b,,,0.78,
EPIC 201615463 c,,,1.07,
EPIC 201754305 d,,,0.67,
EPIC 201757695.02,,0.66,0.73,
EPIC 201833600 c,,0.63,0.61,
EPIC 201841433 b,,0.63,0.8,
EPIC 205950854 c,,0.83,0.88,
EPIC 206024342 b,,0.82,0.93,
EPIC 206032309 b,,,0.22,
EPIC 206042996 b,,0.67,0.56,
EPIC 206215704 b,,0.37,0.41,
EPIC 206317286 b,,0.67,0.71,
EPIC 211822797 b,,0.57,0.66,0.79
EPIC 211945201 b,G0,1.39,1.17,3.99
EPIC 212297394 b,,0.75,0.83,
EPIC 212424622 b,,1.22,1.11,
EPIC 212499991 b,,,0.91,
EPIC 212587672 b,,0.98,0.95,
EPIC 212737443 b,K3,0.67,0.69,
EPIC 212737443 c,K3,0.67,0.69,
EPIC 220554210 c,,1.01,0.94,
EPIC 220674823 b,G5,0.98,0.97,5.00
EPIC 220674823 c,G5,0.98,0.97,5.00
EPIC 246851721 b,F5 V,1.59,1.32,3.02
EPIC 248847494 b,,2.7,0.9,
EPIC 249893012 b,G8 IV/V,1.71,1.05,9.00
EPIC 249893012 c,G8 IV/V,1.71,1.05,9.00
EPIC 249893012 d,G8 IV/V,1.71,1.05,9.00
FU Tau b,M7.25,,0.05,0.00
G 9-40 b,M2.5 V,0.31,0.29,9.90
GJ 1061 b,M5.5 V,0.16,0.12,7.00
GJ 1061 c,M5.5 V,0.16,0.12,7.00
GJ 1061 d,M5.5 V,0.16,0.12,7.00
GJ 1132 b,M4.5 V,0.21,0.18,5.00
GJ 1132 c,,0.21,0.18,
GJ 1148 b,,0.36,0.34,
GJ 1148 c,,0.36,0.34,
GJ 1214 b,,0.22,0.15,3.00
GJ 1252 b,M3,0.39,0.38,
GJ 1265 b,M4.5 V,0.19,0.18,
GJ 143 b,K4.5,0.69,0.73,3.80
GJ 15 A b,M1,0.38,0.38,
GJ 15 A c,M1,0.38,0.38,
GJ 160.2 b,M0 V,,0.69,
GJ 163 b,,,,
GJ 163 c,,,,
GJ 163 d,,,,
GJ 179 b,M3.5 V,0.38,0.36,
GJ 180 b,M2 V,,0.43,
GJ 180 c,M2 V,,0.43,
GJ 180 d,,,0.43,
GJ 2056 b,,,0.62,
GJ 229 A c,,,0.58,
GJ 229 b,M1/M2 V,,0.58,
GJ 27.1 b,M0.5 V,,0.53,
GJ 273 b,M3.5,0.29,0.29,
GJ 273 c,M3.5,0.29,0.29,
GJ 3021 b,G6 V,0.9,0.9,
