pl_name,orbital_period,radius_earth,radius_jupiter,mass_earth,mass_jupiter,equi_temp
GJ 411 b,12.95,1.54,0.14,2.99,0.01,350.00
GJ 422 b,20.13,3.33,0.30,11.07,0.03,
GJ 4276 b,13.35,4.22,0.38,16.57,0.05,
GJ 433 b,7.37,2.33,0.21,6.04,0.02,
GJ 433 c,5094.11,6.27,0.56,32.42,0.10,
GJ 433 d,36.06,2.14,0.19,5.22,0.02,
GJ 436 b,2.64,4.17,0.37,22.10,0.07,686.00
GJ 480 b,9.57,3.69,0.33,13.20,0.04,
GJ 504 b,,13.00,1.16,1271.30,4.00,510.00
GJ 536 b,8.71,2.17,0.19,5.36,0.02,
GJ 581 b,5.37,4.11,0.37,15.80,0.05,
GJ 581 c,12.91,2.21,0.20,5.50,0.02,
GJ 581 e,3.15,1.17,0.10,1.70,0.01,
GJ 625 b,14.63,1.49,0.13,2.82,0.01,
GJ 649 b,598.30,12.50,1.11,104.24,0.33,
GJ 667 C b,7.20,2.23,0.20,5.60,0.02,
GJ 667 C c,28.14,1.77,0.16,3.80,0.01,
GJ 667 C e,62.24,1.45,0.13,2.70,0.01,
GJ 667 C f,39.03,1.45,0.13,2.70,0.01,
GJ 667 C g,256.20,1.99,0.18,4.60,0.01,
GJ 674 b,4.69,3.33,0.30,11.09,0.04,
GJ 676 A b,1056.80,12.70,1.13,2129.46,6.70,
GJ 676 A c,7337.00,12.70,1.13,2161.24,6.80,
GJ 676 A d,3.60,1.93,0.17,4.40,0.01,
GJ 676 A e,35.39,2.77,0.25,8.10,0.03,
GJ 682 b,17.48,1.93,0.17,4.40,0.01,
GJ 682 c,57.32,2.89,0.26,8.70,0.03,
GJ 685 b,24.16,2.95,0.26,9.00,0.03,
GJ 687 b,38.14,4.32,0.39,17.20,0.05,
GJ 687 c,727.56,4.14,0.37,16.00,0.05,
GJ 832 b,3657.00,14.00,1.25,216.00,0.68,
GJ 832 c,35.68,2.18,0.20,5.40,0.02,
GJ 849 b,1882.00,13.80,1.23,317.83,1.00,
GJ 86 b,15.76,12.90,1.15,1404.81,4.42,
GJ 876 b,61.12,13.30,1.19,723.22,2.28,
GJ 876 c,30.09,14.00,1.25,226.98,0.71,
GJ 876 d,1.94,2.51,0.22,6.83,0.02,
GJ 876 e,124.26,3.92,0.35,14.60,0.05,
GJ 887 b,9.26,1.88,0.17,4.20,0.01,468.00
GJ 887 c,21.79,2.67,0.24,7.60,0.02,352.00
GJ 9066 b,241.88,6.10,0.54,30.90,0.10,
GJ 9066 c,767.89,10.00,0.89,71.60,0.23,
GJ 96 b,73.94,4.67,0.42,19.66,0.06,
GJ 9827 b,1.21,1.58,0.14,4.91,0.02,1044.00
GJ 9827 c,3.65,1.24,0.11,0.84,0.00,722.00
GJ 9827 d,6.20,2.02,0.18,4.04,0.01,605.00
GQ Lup b,,33.60,3.00,6356.00,20.00,2650.00
GSC 06214-00210 b,,20.18,1.80,5000.00,16.00,2300.00
GU Psc b,,14.18,1.27,3591.30,11.30,1050.00
Gl 378 b,3.82,3.66,0.33,13.02,0.04,830.00
Gl 49 b,13.85,2.24,0.20,5.63,0.02,
Gl 686 b,15.53,2.46,0.22,6.62,0.02,379.00
HAT-P-1 b,4.47,14.79,1.32,166.86,0.53,1322.00
HAT-P-11 b,4.89,4.36,0.39,26.70,0.08,838.00
HAT-P-11 c,3407.00,13.30,1.19,731.01,2.30,
HAT-P-12 b,3.21,10.75,0.96,67.06,0.21,963.00
HAT-P-13 b,2.92,14.26,1.27,270.46,0.85,1740.00
