pl_name,ra,dec,distance
11 Com b,185.18,17.79,93.18
11 UMi b,229.27,71.82,125.32
14 And b,352.82,39.24,75.44
14 Her b,242.60,43.82,17.93
16 Cyg B b,295.47,50.52,21.14
18 Del b,314.61,10.84,76.22
1RXS J160929.1-210524 b,242.38,-21.08,139.14
24 Boo b,217.16,49.84,95.99
24 Sex b,155.87,-0.90,72.07
24 Sex c,155.87,-0.90,72.07
2MASS J01033563-5515561 AB b,15.90,-55.27,47.20
2MASS J01225093-2439505 b,20.71,-24.66,33.83
2MASS J02192210-3925225 b,34.84,-39.42,40.09
2MASS J04414489+2301513 b,70.44,23.03,120.42
2MASS J12073346-3932539 b,181.89,-39.55,64.31
2MASS J19383260+4603591 b,294.64,46.07,396.33
2MASS J21402931+1625183 A b,325.12,16.42,33.12
2MASS J22362452+4751425 b,339.10,47.86,69.57
30 Ari B b,39.24,24.65,44.66
4 UMa b,130.05,64.33,73.46
42 Dra b,276.50,65.56,90.65
47 UMa b,164.86,40.43,13.80
47 UMa c,164.86,40.43,13.80
47 UMa d,164.86,40.43,13.80
51 Eri b,69.40,-2.47,29.76
51 Peg b,344.37,20.77,15.46
55 Cnc b,133.15,28.33,12.59
55 Cnc c,133.15,28.33,12.59
55 Cnc d,133.15,28.33,12.59
55 Cnc e,133.15,28.33,12.59
55 Cnc f,133.15,28.33,12.59
6 Lyn b,97.70,58.16,54.66
61 Vir b,199.60,-18.32,8.50
61 Vir c,199.60,-18.32,8.50
61 Vir d,199.60,-18.32,8.50
7 CMa b,99.17,-19.26,19.81
7 CMa c,99.17,-19.26,19.81
70 Vir b,202.11,13.78,17.90
75 Cet b,38.04,-1.04,82.96
8 UMi b,224.20,74.90,162.55
81 Cet b,39.42,-3.40,101.26
91 Aqr b,348.97,-9.09,44.03
AB Pic b,94.80,-58.05,50.05
AU Mic b,311.29,-31.34,9.72
BD+03 2562 b,177.56,2.76,1070.63
BD+14 4559 b,318.40,14.69,49.35
BD+15 2375 b,176.48,14.62,768.05
BD+15 2940 b,240.10,15.55,426.42
BD+20 2457 b,154.19,19.89,1539.71
BD+20 2457 c,154.19,19.89,1539.71
BD+20 274 b,25.92,21.01,1322.51
BD+20 594 b,53.65,20.60,179.46
BD+48 738 b,40.71,49.59,871.49
BD+48 740 b,40.74,48.93,666.59
BD+49 828 b,45.64,49.73,442.04
BD-06 1339 b,88.25,-6.00,20.27
BD-06 1339 c,88.25,-6.00,20.27
BD-08 2823 b,150.20,-9.52,41.33
BD-08 2823 c,150.20,-9.52,41.33
BD-10 3166 b,164.62,-10.77,84.41
BD-11 4672 b,278.37,-11.64,27.17
BD-11 4672 c,278.37,-11.64,27.17
BD-13 2130 b,114.29,-13.91,925.21
BD-17 63 b,7.14,-16.23,34.46
CFBDSIR J145829+101343 b,224.62,10.23,23.10
CHXR 73 b,166.62,-77.63,190.37
CI Tau b,68.47,22.84,158.00
CT Cha b,166.04,-76.46,190.72
CoRoT-1 b,102.08,-3.10,787.91
CoRoT-10 b,291.06,0.75,338.39
CoRoT-11 b,280.69,5.94,655.04
CoRoT-12 b,100.77,-1.30,1126.37
CoRoT-13 b,102.72,-5.09,1148.93
CoRoT-14 b,103.42,-5.54,1744.60
CoRoT-16 b,278.52,-6.00,732.41
CoRoT-17 b,278.70,-6.61,1176.12
CoRoT-18 b,98.17,-0.03,764.89
CoRoT-19 b,97.03,-0.17,790.66
CoRoT-2 b,291.78,1.38,213.28
CoRoT-20 b,97.72,0.23,844.06
CoRoT-20 c,97.72,0.23,844.06
CoRoT-21 b,101.05,-0.30,1398.83
CoRoT-22 b,280.67,6.22,627.16
CoRoT-23 b,279.78,4.36,1060.97
CoRoT-24 b,101.92,-3.72,591.56
CoRoT-24 c,101.92,-3.72,591.56
CoRoT-25 b,280.63,6.51,1103.48
CoRoT-26 b,279.75,6.97,1045.18
CoRoT-27 b,278.50,5.54,1010.28
CoRoT-28 b,278.69,5.57,766.18
CoRoT-29 b,278.90,6.48,806.51
CoRoT-3 b,292.06,0.12,768.77
CoRoT-30 b,277.60,6.84,1032.23
CoRoT-31 b,94.82,-4.42,2005.76
CoRoT-4 b,102.19,-0.67,726.41
CoRoT-5 b,101.28,0.82,882.47
CoRoT-6 b,281.07,6.66,645.29
CoRoT-7 b,100.96,-1.06,159.91
CoRoT-7 c,100.96,-1.06,159.91
CoRoT-8 b,291.59,1.43,322.04
CoRoT-9 b,280.79,6.20,412.98
CoRoTID 223977153 b,100.20,9.26,576.68
DE CVn b,201.72,45.55,30.52
DENIS-P J082303.1-491201 b,125.76,-49.20,20.77
DH Tau b,67.42,26.55,134.85
DMPP-1 b,86.78,-10.63,62.54
DMPP-1 c,86.78,-10.63,62.54
DMPP-1 d,86.78,-10.63,62.54
DMPP-1 e,86.78,-10.63,62.54
DMPP-2 b,27.41,-34.46,137.94
DMPP-3 A b,91.62,-72.51,45.23
DP Leo b,169.32,17.96,305.68
DS Tuc A b,354.92,-69.20,44.06
EPIC 201170410.02,170.14,-4.81,134.00
EPIC 201238110 b,179.71,-3.39,159.26
EPIC 201497682 b,168.94,0.49,253.03
EPIC 201615463 c,185.19,2.28,476.88
EPIC 201754305 d,175.10,4.56,334.97
EPIC 201757695.02,173.94,4.62,577.60
EPIC 201833600 c,169.48,5.99,257.44
EPIC 201841433 b,175.21,6.13,436.49
EPIC 205950854 c,333.11,-16.34,243.94
EPIC 206024342 b,331.28,-14.12,369.89
EPIC 206032309 b,341.24,-13.90,161.37
EPIC 206042996 b,337.51,-13.61,451.77
EPIC 206215704 b,335.09,-9.51,109.89
EPIC 206317286 b,337.62,-7.97,314.35
EPIC 211822797 b,130.41,17.64,186.20
EPIC 211945201 b,136.57,19.40,181.69
EPIC 212297394 b,207.21,-17.61,418.40
EPIC 212424622 b,202.33,-14.36,611.80
EPIC 212499991 b,202.49,-12.73,283.29
EPIC 212587672 b,205.44,-10.86,320.07
EPIC 212737443 b,204.22,-7.32,336.25
EPIC 212737443 c,204.22,-7.32,336.25
EPIC 220554210 c,13.43,8.00,496.29
EPIC 220674823 b,13.08,10.79,244.59
EPIC 220674823 c,13.08,10.79,244.59
EPIC 246851721 b,78.92,16.28,372.63
EPIC 248847494 b,159.39,11.84,551.89
EPIC 249893012 b,228.25,-16.72,321.30
EPIC 249893012 c,228.25,-16.72,321.30
EPIC 249893012 d,228.25,-16.72,321.30
FU Tau b,65.90,25.05,133.50
G 9-40 b,134.72,21.07,27.93
GJ 1061 b,54.00,-44.51,3.67
GJ 1061 c,54.00,-44.51,3.67
GJ 1061 d,54.00,-44.51,3.67
GJ 1132 b,153.71,-47.15,12.61
GJ 1132 c,153.71,-47.15,12.61
GJ 1148 b,175.43,42.75,11.01
GJ 1148 c,175.43,42.75,11.01
GJ 1214 b,258.83,4.96,14.64
GJ 1252 b,306.93,-56.46,20.37
GJ 1265 b,333.43,-17.69,10.25
GJ 143 b,51.75,-63.50,16.32
GJ 15 A b,4.61,44.02,3.56
GJ 15 A c,4.61,44.02,3.56
GJ 160.2 b,61.65,-20.86,25.86
GJ 163 b,62.32,-53.37,15.13
GJ 163 c,62.32,-53.37,15.13
GJ 163 d,62.32,-53.37,15.13
GJ 179 b,73.02,6.48,12.36
GJ 180 b,73.46,-17.78,11.94
GJ 180 c,73.46,-17.78,11.94
GJ 180 d,73.46,-17.78,11.94
GJ 2056 b,108.02,-24.89,28.44
GJ 229 A c,92.64,-21.87,5.76
GJ 229 b,92.64,-21.87,5.76
GJ 27.1 b,10.00,-44.25,23.61
GJ 273 b,111.85,5.23,5.92
GJ 273 c,111.85,5.23,5.92
GJ 3021 b,4.06,-79.85,17.56
GJ 3082 b,18.64,-53.94,16.62
GJ 3138 b,32.30,-16.34,28.47
GJ 3138 c,32.30,-16.34,28.47
GJ 3138 d,32.30,-16.34,28.47
GJ 317 b,130.24,-23.45,15.20
GJ 317 c,130.24,-23.45,15.20
GJ 328 b,133.78,1.54,20.53
GJ 3293 b,67.15,-25.17,20.19
GJ 3293 c,67.15,-25.17,20.19
GJ 3293 d,67.15,-25.17,20.19
GJ 3293 e,67.15,-25.17,20.19
GJ 3323 b,75.49,-6.95,5.37
GJ 3323 c,75.49,-6.95,5.37
GJ 3341 b,78.95,-31.29,23.62
GJ 338 B b,138.59,52.68,6.33
GJ 3470 b,119.77,15.39,29.42
GJ 3473 b,120.59,3.34,27.36
GJ 3473 c,120.59,3.34,27.36
GJ 3512 b,130.33,59.49,9.49
GJ 357 b,144.01,-21.67,9.44
GJ 357 c,144.01,-21.67,9.44
GJ 357 d,144.01,-21.67,9.44
GJ 3634 b,164.64,-31.14,20.38
GJ 3779 b,200.73,24.46,13.74
GJ 3942 b,242.26,52.94,16.93
GJ 3998 b,259.00,11.06,18.15
GJ 3998 c,259.00,11.06,18.15
GJ 411 b,165.83,35.97,5.68
GJ 422 b,168.98,-57.54,12.66
GJ 4276 b,336.32,59.41,21.34
GJ 433 b,173.86,-32.54,9.06
